Time,"Edge(1, 2)","Edge(1, 3)"
0.0,0.0,0.0
0.037000000000000005,0.0,0.0
0.07899999999999999,0.0,0.0
0.12599999999999997,0.0,0.0
0.17600000000000002,0.0,0.0
0.19799999999999998,0.0,0.0
0.19799999999999998,0.0,0.0
0.23900000000000002,0.0,0.0
0.28600000000000003,0.0,0.0
0.33399999999999996,0.0,0.0
0.384,0.0,0.0
0.4149999999999999,0.0,0.0
0.5319999999999999,0.0,0.0
0.593,0.0,0.0
0.65,0.0,0.0
0.714,0.0,0.0
0.776,0.0,0.0
0.834,0.0,0.0
0.9059999999999999,0.0,0.0
0.974,0.0,0.0
1.041,0.0,0.0
1.0999999999999999,0.0,0.0
1.155,0.0,0.0
1.2169999999999999,0.0,0.0
1.271,0.0,0.0
1.3259999999999998,0.0,0.0
1.391,0.0,0.0
1.45,0.0,0.0
1.5130000000000001,0.0,0.0
1.575,0.0,0.0
1.637,0.0,0.0
1.698,0.0,0.0
1.756,0.0,0.0
1.817,0.0,0.0
1.882,0.0,0.0
1.9429999999999998,0.0,0.0
1.9999999999999998,0.0,0.0
2.067,0.0,0.0
2.1390000000000002,0.0,0.0
2.213,0.0,0.0
2.277,0.0,0.0
2.349,0.0,0.0
2.4130000000000003,0.0,0.0
2.4800000000000004,0.0,0.0
2.553,0.0,0.0
2.623,0.0,0.0
2.684,0.0,0.0
2.7620000000000005,0.0,0.0
2.827,0.0,0.0
2.8880000000000003,0.0,0.0
2.9480000000000004,0.0,0.0
3.0130000000000003,0.0,0.0
3.077,0.0,0.0
3.1380000000000003,0.0,0.0
3.21,0.0,0.0
3.2720000000000002,0.0,0.0
3.3320000000000003,0.0,0.0
3.3960000000000004,0.0,0.0
3.4770000000000003,0.0,0.0
3.5420000000000003,0.0,0.0
3.6060000000000003,0.0,0.0
3.665,0.0,0.0
3.741,0.0,0.0
3.802,0.0,0.0
3.8689999999999998,0.0,0.0
3.939,0.0,0.0
4.0040000000000004,0.0,0.0
4.078,0.0,0.0
4.141,0.0,0.0
4.223,0.0,0.0
4.304,0.0,0.0
4.381,0.0,0.0
4.452,0.0,0.0
4.513,0.0,0.0
4.5920000000000005,0.0,0.0
4.659,0.0,0.0
4.726,0.0,0.0
4.791,0.0,0.0
4.869,0.0,0.0
4.9270000000000005,0.0,0.0
4.996,0.0,0.0
5.061,0.0,0.0
5.1290000000000004,0.0,0.0
5.1930000000000005,0.0,0.0
5.264,0.0,0.0
5.335,0.0,0.0
5.402,0.0,0.0
5.4670000000000005,0.0,0.0
5.532,0.0,0.0
5.602,0.0,0.0
5.665,0.0,0.0
5.7330000000000005,0.0,0.0
5.799,0.0,0.0
5.869,0.0,0.0
5.94,0.0,0.0
6.006,0.0,0.0
6.079,0.0,0.0
6.1450000000000005,0.0,0.0
6.212000000000001,0.0,0.0
6.277,0.0,0.0
6.345,0.0,0.0
6.4110000000000005,0.0,0.0
6.473,0.0,0.0
6.55,0.0,0.0
6.613,0.0,0.0
6.679,0.0,0.0
6.747,0.0,0.0
6.817,0.0,0.0
6.888,0.0,0.0
6.9510000000000005,0.0,0.0
7.018,0.0,0.0
7.087000000000001,0.0,0.0
7.157,0.0,0.0
7.2330000000000005,0.0,0.0
7.308,0.0,0.0
7.385000000000001,0.0,0.0
7.456,0.0,0.0
7.535,0.0,0.0
7.62,0.0,0.0
7.69,0.0,0.0
7.755,0.0,0.0
7.83,0.0,0.0
7.910000000000001,0.0,0.0
7.984000000000001,0.0,0.0
8.052999999999999,0.0,0.0
8.117999999999999,0.0,0.0
8.183,0.0,0.0
8.26,0.0,0.0
8.335999999999999,0.0,0.0
8.402999999999999,0.0,0.0
8.471,0.0,0.0
8.540999999999999,0.0,0.0
8.61,0.0,0.0
8.674,0.0,0.0
8.745999999999999,0.0,0.0
8.814,0.0,0.0
8.886999999999999,0.0,0.0
8.966999999999999,0.0,0.0
9.035,3.4399502216207276,6.0000304084289535
9.106,3.429067347961098,5.9808406551641875
9.183,3.361476849597154,5.872308438429891
9.261999999999999,3.249966929534881,5.664844268515558
9.34,3.1196142561898057,5.43443596514256
9.418999999999999,2.954404023343391,5.143647173878493
9.498,2.7800602466785604,4.832751217081478
9.572,2.6128397553670957,4.535946844448354
9.649999999999999,2.4718962418780857,4.284990086025274
9.732,2.2662818725313745,3.907298168949202
9.812,2.1529527218979574,3.6858844978728063
9.894,1.9881512629392364,3.334230620580035
9.971,1.8811367419953196,3.0733259042359458
10.049999999999999,1.786127640467956,2.8125782952111833
10.129999999999999,1.732689072518217,2.645240453788776
10.200999999999999,1.678272501752386,2.4574169152384
10.271999999999998,1.6355034881270596,2.3031893668255172
10.35,1.607880783140116,2.1608929625635547
10.433,1.5929245797092528,2.0563730732450054
10.514,1.5837609453051182,1.9842568106505372
10.597,1.585956634228792,1.9154705693462688
10.681999999999999,1.5918682529572206,1.872396790365682
10.755999999999998,1.603604665981146,1.837732768758749
10.835999999999999,1.6168675821816245,1.8174380159782708
10.915999999999999,1.6313865383175108,1.8014360299118177
10.991,1.6500963180291413,1.7972829442356182
11.075,1.6659993973692655,1.7959484832874342
11.152,1.6826126486457842,1.7980193451463569
11.222999999999999,1.692064234139878,1.800267293482694
11.306,1.7040246778195476,1.8024803543758727
11.380999999999998,1.7146556879181092,1.806957360104588
11.468,1.7220710584173915,1.808581839650269
11.543,1.727339878809981,1.8085538955040974
11.622,1.730330230863594,1.806817173468434
11.705,1.7316772702724494,1.8028785787783725
11.78,1.7314943770318236,1.79853495739063
11.864999999999998,1.7301019350844575,1.791991098937649
