Time,Robot_x1,Robot_y1,Robot_x2,Robot_y2,Robot_x3,Robot_y3
0.0013630390167236328,0.0,0.0,0.0,0.0,0.0,0.0
0.13568902015686035,0.0,0.0,0.0,0.0,0.0,0.0
0.18178892135620117,0.0,0.0,0.0,0.0,0.0,0.0
0.23973798751831055,0.0,0.0,0.0,0.0,0.0,0.0
0.27584314346313477,0.0,0.0,0.0,0.0,0.0,0.0
0.3222780227661133,0.0,0.0,0.0,0.0,0.0,0.0
0.3674459457397461,0.0,0.0,0.0,0.0,0.0,0.0
0.4128379821777344,0.0,0.0,0.0,0.0,0.0,0.0
0.44934892654418945,0.0,0.0,0.0,0.0,0.0,0.0
0.48217201232910156,0.0,0.0,0.0,0.0,0.0,0.0
0.5131220817565918,0.0,0.0,0.0,0.0,0.0,0.0
0.5461161136627197,0.0,0.0,0.0,0.0,0.0,0.0
0.579556941986084,0.0,0.0,0.0,0.0,0.0,0.0
0.620703935623169,0.0,0.0,0.0,0.0,0.0,0.0
0.674760103225708,0.0,0.0,0.0,0.0,0.0,0.0
0.7657270431518555,0.0,0.0,0.0,0.0,0.0,0.0
0.8046960830688477,0.0,0.0,0.0,0.0,0.0,0.0
0.8454010486602783,0.0,0.0,0.0,0.0,0.0,0.0
0.8949921131134033,0.0,0.0,0.0,0.0,0.0,0.0
0.9343030452728271,0.0,0.0,0.0,0.0,0.0,0.0
0.9730029106140137,0.0,0.0,0.0,0.0,0.0,0.0
1.0261399745941162,0.0,0.0,0.0,0.0,0.0,0.0
1.07328200340271,0.0,0.0,0.0,0.0,0.0,0.0
1.1357591152191162,0.0,0.0,0.0,0.0,0.0,0.0
1.1971430778503418,0.0,0.0,0.0,0.0,0.0,0.0
1.2489209175109863,0.0,0.0,0.0,0.0,0.0,0.0
1.3092341423034668,0.0,0.0,0.0,0.0,0.0,0.0
1.37015700340271,0.0,0.0,0.0,0.0,0.0,0.0
1.4160990715026855,0.0,0.0,0.0,0.0,0.0,0.0
1.4575440883636475,0.0,0.0,0.0,0.0,0.0,0.0
